STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
2|3019614828000020|3657115339000010|4055RUPLUS|USG8|HAMILTON|OH|4000267260|INDEPENDENCE|KY|45011|41051|450|410|2016-03-03|2016-03-03|2016-03-03|2016-03-02|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|45011|41051|100|||100|1|0
1|3019659097000010||4055RUPLUS|USIX|ZANESVILLE|OH|4000267260|INDEPENDENCE|KY|43701|41051|437|410|2016-03-08|2016-03-08|2016-03-08|2016-03-08|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z1|43701|41051|182.1|ISS2MAXDISTSRC-5ZIP_USIX->4000267260-202|1.113|534|0|0
1|3019659097000020||4055RUPLUS|USIX|ZANESVILLE|OH|4000267260|INDEPENDENCE|KY|43701|41051|437|410|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z1|43701|41051|182.1|ISS2MAXDISTSRC-5ZIP_USIX->4000267260-202|1.113|534|0|0
2|3019637930000010|3657158290000010|4055RUPLUS|USHD|LAKEWOOD|WA|4000267279|PUYALLUP|WA|98499|98372|984|983|2016-03-02|2016-03-02|2016-03-02|2016-03-01|128|ISS9DEL|2016-03-01|128|Z1AA|Z2|98499|98372|100|||100|1|0
2|3019645408000010|3657153449000010|4055RUPLUS|USFC|ROCHESTER|NY|4000267499|HENRIETTA|NY|14623|14467|146|144|2016-03-03|2016-03-03|2016-03-03|2016-03-02|50|ISS9DEL|2016-03-01|50|Z1AA|Z1|14623|14467|100|||100|1|0
2|3019637893000010|3657151752000010|4055RUPLUS|UT3O|CHEEKTOWAGA|NY|4000267525|BUFFALO|NY|14225|14203|142|142|2016-03-02|2016-03-02|2016-03-02|2016-03-02|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|14225|14203|10|||200|0|0
2|3019619754000010|3657146495000010|4055RUPLUS|USE1|ONTARIO|CA|4000267921|PERRIS|CA|91761|92570|917|925|2016-03-01|2016-03-01|2016-03-01|2016-03-01|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|91761|92570|38|||605|1|0
2|3019609428000010|3657150983000010|4055RUPLUS|USG5|SAN ANTONIO|TX|4000267950|FLATONIA|TX|78218|78941|782|789|2016-03-01|2016-03-01|2016-03-01|2016-03-01|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|78218|78941|87|||518|1|0
1|3019655695000010||4055RUPLUS|USXA|LUBBOCK|TX|4000267950|FLATONIA|TX|79404|78941|794|789|2016-03-04|2016-03-04|2016-03-04|2016-03-03|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|79404|78941|461.39|ISS2MAXDISTSRC-5ZIP_USXA->4000267950-202|2.479|1190|0|1
2|3019614659000010|3657150928000010|4055RUPLUS|UT29|LAKELAND|FL|4000267980|BRADENTON|FL|33815|34208|338|342|2016-03-01|2016-03-01|2016-03-01|2016-03-01|570|ISS9DEL|2016-03-01|570|Z1AA|Z2|33815|34208|69|||400|1|0
